rank,rawChinese,rawPinyin,english,englishMeaning,chineseMeaning,chineseExample
96,终于,zhōng yú,eventually,in the end,（１）副词，表示经过种种变化或等待之后出现的情况：试验～成功了｜她多次想说，但～没说出口。（２）毕竟；终究。<br>,"1、他当演员的梦想<b>终于</b>实现了。 <br />   2、 耽搁多时之后,调查结果<b>终于</b>公布了。 <br />   3、 他<b>终于</b>决定采取合作的态度。 <br />   4、 他很高兴他<b>终于</b>获得了解脱。<br />"
97,准备,zhǔn bèi,prepare,to make ready for a specific future purpose,（１）预先安排或筹划：精神～｜～发言提纲｜～一个空箱子放书。（２）打算：春节我～回家｜昨天我本来～去看你，因为临时有事没去成。<br>,1、现在我们<b>准备</b>开始设计。 <br />   2、 当他们<b>准备</b>好接受可能的结果时，会试探性地使用这些控件。 <br />   3、 针对设计领域，<b>准备</b>一些访谈中必须涉及的标准化问题也有一定的帮助。 <br />   4、 现在我们<b>准备</b>开始勾画出大致的界面，最初阶段，界面的视觉化工作应该极其简单。<br />
100,甚至,shèn zhì,go so far as,do something in an extreme fashion,连词，提出突出的事例（有更进一层的意思）：大院里四十多岁～六十多岁的老年人也参加了读报小组。也说甚至于或甚而至于。<br>,1、相反，我们希望她对于系统控制的危险能量小心翼翼，<b>甚至</b>心怀敬畏。 <br />   2、 顺序很重要，有时<b>甚至</b>连大小写问题也不例外。 <br />   3、 设计不佳，<b>甚至</b>没有经过设计的产品看起来像是不同零件偶然拼合在一起。 <br />   4、 用户<b>甚至</b>无须经过思考，很快就可以把它们联系起来。<br />
101,需要,xū yào,need,in want of,（１）应该有或必须有：我们～有一支强大的科学技术队伍。（２）对事物的欲望或要求：从群众的～出发。<br>,1、有两个组成部分<b>需要</b>考虑。 <br />   2、 有时是<b>需要</b>独占姿态的。 <br />   3、 永久的中间用户<b>需要</b>什么 <br />   4、 新手<b>需要</b>什么<br />
102,离开,lí kāi,leave,To go away from a place.,跟人、物或地方分开：离得开｜离不开｜鱼～了水就不能活｜他已经～北京了。<br>,1、数字不应该<b>离开</b>，它们应该与显示内容有关，而不是显示的内容本身。 <br />   2、 在现实生活中，当我们<b>离开</b>房间时不会考虑放弃所有做出的改变。 <br />   3、 而当时在所有其他的基于菜单的程序中，如果使用者要在菜单中选择，都被迫<b>离开</b>工作屏幕。 <br />   4、 打字者不喜欢让任何事物迫使他们的手<b>离开</b>键盘上的基准位置，因为这需要肌肉群之间的转换。<br />
103,情况,qíng kuàng,situation,position vis-à-vis surroundings,（１）情形：思想～｜工作～。（２）军事上的变化：这两天前线没有什么～。<br>,1、当然，暂时式应用程序也存在一些少见的例外<b>情况</b>，即不止一个主题，但这种<b>情况</b>很少。 <br />   2、 想像一下图10-7中的<b>情况</b>。 <br />   3、 边缘<b>情况</b>设计 <br />   4、 从逻辑上说，后面这种<b>情况</b>有些问题。<br />
104,清楚,qīng chu,obscure,"dark, faint or indistinct",＜轻＞（１）事物容易让人了解、辩认：字迹～｜话说得不～｜把工作交代～。（２）对事物了解很透彻：头脑～。（３）了解：这件事的经过他很～｜这个问题你～不～？<br>,1、总之，你需要为受范区域提供更<b>清楚</b>的视觉暗示。 <br />   2、 它礼貌而<b>清楚</b>地为用户说明问题，并提出解决问题的好建议，操作按钮和产生的结果也描述得很<b>清楚</b>。 <br />   3、 这些原始数据尽管很精确，但没有说<b>清楚</b>这些情况。 <br />   4、 程序员们应当十分熟悉简约的概念，他们知道好算法往往更简短且更<b>清楚</b>。<br />
107,相信,xiāng xìn,believe,to accept that someone is telling the truth (object: person),认为正确或确实而不怀疑：我～他们的试验一定会成功。<br>,1、我们应该<b>相信</b>谁呢？ <br />   2、 用户不<b>相信</b>，或者至少不愿<b>相信</b>他们会犯错误，这是用户心理模型通常不包含错误的另外一种说法。 <br />   3、 在我们的想像中，用户可以脱离麻烦，因为我们<b>相信</b>错误消息框可以指引他们。 <br />   4、 许多程序员<b>相信</b>，如果用户在输入数据时犯了错误，就有责任通知他们。<br />
109,任何,rèn hé,any,at least one (kind),不论什么：我们能够战胜～困难。<br>,1、<b>任何</b>大的任务，诸如开车前往办公室，涉及很多较小的任务。 <br />   2、 我们不能从本能和直觉中获得<b>任何</b>帮助，只能依靠经验。 <br />   3、 这些选择从用户大脑转移到了屏幕上，不需要进行<b>任何</b>记忆。 <br />   4、 通常，<b>任何</b>一个命令启动10次，可能才设置1次。<br />
110,办法,bàn fǎ,way,method,处理事情或解决问题的方法。<br>,1、她那种经常用来威胁的公开宣传多少还可以想<b>办法</b>克服。 <br />   2、 接下来的交互动作产生的另一个对话框或者应用程序可以遮盖这个对话框，但应该有明显的<b>办法</b>使其返回到最上层。 <br />   3、 还有一种<b>办法</b>，他可能会到地址目录中查找。 <br />   4、 我拿他没<b>办法</b>，他拿我也没<b>办法</b>。<br />
111,口气,kǒu qì,breathe,"breathe, or attitude",＜轻＞（１）说话的气势：他的～真不小。（２）言外之意；口风：听他的～，好象对这项任务满有把握。（３）说话时流露出来的感情色彩：严肃的～｜诙谐的～｜埋怨的～。<br>,"1、亨利艾塔近来采取了无可奈何的单纯<b>口气</b>，变得宽宏大量了。 <br />   2、 请他人过目你的信，审核一下准确性和<b>口气</b>。 <br />   3、 读完女儿的来信,怀特太太宽慰地松了<b>口气</b>。 <br />   4、 呵！我算是舒了<b>口气</b>，这<b>口气</b>差点没把我憋死。<br />"
113,愿意,yuàn yì,want,To have a strong desire for something.,＜轻＞（１）认为符合自己心愿而同意（做某事）：送你去学习，你～不～？（２）希望（发生某种情况）：他们～你留在这里。<br>,1、这时，用户<b>愿意</b>花一些精力来学习。 <br />   2、 没有人<b>愿意</b>停留在新手级别。 <br />   3、 对于<b>愿意</b>学习命令行界面的任何用户来说，自动合格地成为超级用户。 <br />   4、 这个原则只不过是说，人们<b>愿意</b>为更有价值的事物努力工作。<br />
114,精神,jīng shén,spirit,the soul of a person or other living being,１（１）指人的意识、思维活动和一般心理状态：～面貌｜～上的负担。（２）宗旨；主要的意义：领会文件的～。<br>,1、一位医生证明他<b>精神</b>不正常。 <br />   2、 好书可以丰富人的<b>精神</b>生活。 <br />   3、 用共产主义<b>精神</b>培养青年人 <br />   4、 打起<b>精神</b>来，比利，打起<b>精神</b>来。<br />
116,哪里,nǎ li,where,at or in which place,（１）问什么处所：你住在～？｜这话你是从～听来的？（２）泛指任何处所：我国的农村和城市，无论～，都是一片欣欣向荣的新气象｜她走到～，就把好事做到～。（３）用于反问句，表示意在否定：这样美好的生活，～是解放前所能梦想到的？（＝不是…）｜～知道刚走出七八里地，天就下起雨来了？（＝不料…）（４）谦词，用来婉转地推辞对自己的褒奖：‘你这篇文章写得真好！’‘～，～！’<br>,1、，或者“这个方案好在<b>哪里</b>？” <br />   2、 它们不仅帮助用户弄清楚他们可以去<b>哪里</b>，而且也帮助用户定位自己的位置。 让网站的每个页面看起来都差不多可能对营销有吸引力，但如果太相似了，就会引起混乱。 <br />   3、 太多相连的窗格会产生视觉混乱和困惑，即用户不知道到<b>哪里</b>查找所需要的内容。 <br />   4、 记住我们把它放在<b>哪里</b>——它的位置——对于找到它，以及放好它便于第2次发现都至关重要。<br />
117,对于,duì yú,about,concerning,介词，引进对象或事物的关系者：我们～公共财产，无论大小，都应该爱惜｜他～革命事业十分忠诚｜大家～这个问题的意见是一致的。<br>,1、<b>对于</b>新用户来说，好处是显而易见的。 <br />   2、 <b>对于</b>有界输入要使用有界控件。 <br />   3、 <b>对于</b>数据密集的任务，键盘比鼠标要好。 <br />   4、 <b>对于</b>她来说，这个问题太荒谬了。<br />
118,社会,shè huì,society,group of people sharing culture,（１）指由一定的经济基础和上层建筑构成的整体。也叫社会形态。原始共产主义社会、奴隶社会、封建社会、资本主义社会、共产主义社会是人类社会的五种基本形态。（２）泛指由于共同物质条件而互相联系起来的人群。<br>,1、目标在于理解人们与个体产品交互时的行为和习惯，而不是理解整个文化的行为和<b>社会</b>礼仪。 <br />   2、 有时某个产品的一系列人物角色是同一个家庭或者同一个公司的一部分，他们之间有人际关系和<b>社会</b>关系。 <br />   3、 在自然科学和<b>社会</b>科学中，通过有效的抽象来表达复杂的现象。 <br />   4、 同样，记录所在的字段可能是一个名字或者一个<b>社会</b>保险号码，但是它不可能既是一个名字，又是一个<b>社会</b>保险号码。<br />
119,如何,rú hé,how,in what manner,不管怎么样，表示不管条件怎样变化，其结果始终不变：这周的义务劳动我～得参加。<br>,1、用户的行为<b>如何</b>？ <br />   2、 那么<b>如何</b>解决呢？ <br />   3、 <b>如何</b>持握该设备？ <br />   4、 关于软件<b>如何</b>工作的模型称为“实现模型”；用户<b>如何</b>感觉到要做的操作，以及软件<b>如何</b>帮助用户来完成这些操作，则是和软件交互过程中用户的心理模型。<br />
120,或者,huò zhě,or,conjunction,（１）或许；也许：你快走，～还赶得上车。（２）连词，用在叙述句里，表示选择关系：～把老虎打死，～被老虎吃掉，二者必居其一。<br>,1、，<b>或者</b>“这个方案好在哪里？” <br />   2、 于是他们创作的界面<b>或者</b>是摆满了办公桌、文件夹、电话和参考书的办公室，<b>或者</b>是像一沓纸<b>或者</b>一条布满各式建筑的街道。 <br />   3、 如果下一个功能是新建数据<b>或者</b>对象，<b>或者</b>粘贴数据<b>或者</b>对象（通过键盘输入或粘贴命令），则将加入已经选中的对象。 <br />   4、 只有一本杂志，<b>或者</b>在书架上，<b>或者</b>在用户的手中。<br />
121,如此,rú cǐ,thus,in this way or manner,这样：～勇敢｜理当～｜事已～，后悔也是枉然。<br>,1、当然，逻辑设置也同样<b>如此</b>。 <br />   2、 为何这些产品<b>如此</b>糟糕 <br />   3、 <b>如此</b>层次的细节毫无用处，还会把用户的注意力从数据和控件上分散开。 <br />   4、 它的行为是<b>如此</b>出乎意料，会让人很不安（以致使人生气）。<br />
122,特别,tè bié,especially,particularly,（１）与众不同；不普通：～的式样｜他的脾气很～。（２）格外：火车跑得～快｜这个节目～吸引观众。（３）特地：散会的时候，厂长～把他留下来研究技术上的问题。<br>,1、<b>特别</b>是在过去没有计算机的图书馆，这些都是一成不变的。 <br />   2、 比如清空数据库、配置，以及其他<b>特别</b>的请求等都属于这个类别。 <br />   3、 对话框（<b>特别</b>是确认对话框）是提问，工具栏是提供选择。 <br />   4、 可用性在以下方面的测试<b>特别</b>有效。<br />
123,认为,rèn wéi,think,be of the opinion that,对人或事物确定某种看法，做出某种判断：我～他可能担任这项工作。<br>,1、不要把你正在设计的产品<b>认为</b>是计算机 <br />   2、 软件<b>认为</b>，一个数字字段必须包含一个数字——数据完整性告诉它这些。 <br />   3、 人们经常<b>认为</b>工具栏是菜单的加速版本，相似之处很难免。 <br />   4、 我们<b>认为</b>，任务分析应当同人种学用户访谈结合使用。<br />
124,干部,gàn bù,cadre,core of managing group,（１）国家机关、军队、人民团体中的公职人员（士兵、勤杂人员除外）。（２）指担任一定的领导工作或管理工作的人员：工会～｜公社～。<br>,"1、新老<b>干部</b>相互学习, 相互激励。 <br />   2、 <b>干部</b>要能上能下。 <br />   3、 他是个不负责任的<b>干部</b>。 <br />   4、 <b>干部</b>不能脱离群众。<br />"
125,认识,rèn shi,know,be acquainted or familiar with,＜轻＞（１）能够确定某一人或事物是这个人或事物而不是别的：我～他｜他不～这种草药。（２）指人头脑对客观世界的反映：感性～｜理性～。<br>,1、之所以<b>认识</b>，是因为我们见过他，并自然而然（容易地）地记住了他。 <br />   2、 一个有许多特点和功能的复杂程序应该有一个参考文档，希望拓宽产品<b>认识</b>视野的用户能够在这里找到答案。 <br />   3、 到目前为止，你应该感觉到你的人物角色看起来非常像你所<b>认识</b>的真实的人，人物角色构造的最后一步完成了将你的定性研究变为强有力的设计工具的过程。 <br />   4、 他们还必须深刻地了解产品所属的复杂的领域，必须平衡好竞争的优先次序。 必须理解所用科技的约束和机会，还要对这个项目的商业环境有清楚的<b>认识</b>。<br />
126,到底,dào dǐ,after all,in the long run,１副词。（１）表示经过种种变化以后最后实现的情况：新方法～试验成功了。（２）用在问句里，表示深究：你跟他们～有什么关系？（３）毕竟：～还是年轻人干劲大。<br>,1、<b>到底</b>是谁的错 <br />   2、 那么问题<b>到底</b>是什么呢？ <br />   3、 很多人都难以想像1.2英寸的左边距<b>到底</b>有多大，这个打印预览的功能很好地将它展现出来。 <br />   4、 它几乎同时出现在许多程序中，没人能够说清<b>到底</b>是谁首先发明了它。<br />
127,北京,běi jīnɡ,Beijing,capital of China,"1.指建康。即今南京市。南朝宋都建康，位在当时疆土之北，因谓之北京。);
2.指京口。在今江苏镇江市。京口是南朝宋的发祥地，文帝又生于其地，因称之为北京。);
3.指平城。在今山西大同市东北。北魏于太和十九年自平城南迁都洛阳，因称旧都平城为北京。);
4.指太原府。在今山西太原市西南晋源镇。唐和五代的唐﹑晋﹑汉都发祥于此，因谓之北京。);
5.指大名府。今河北大名县。因宋真宗曾经驻跸于此。);
6.金天眷元年改辽上京临潢府为北京。故址在今内蒙古巴林左旗波罗城。见《金史．熙宗纪》。);
7.金贞元元年迁新都于中都大兴府(今北京市)，以旧都中京大定府在新都之北，改称北京。故址即今内蒙古宁城县西北大明城。见《金史．海陵纪》。);
8.明初指开封府。即今河南开封市。);
9.明永乐元年，成祖将他做燕王时的封地北平府改为顺天府，建北京，即今北京市。永乐十九年，自应天(今江苏南京市)迁都顺天，改北京为京师。洪熙元年，拟还都应天，复改京师为北京。正统六年，定北京为国都，又改称京师。历清直至辛亥革命后，相沿不改。但习惯上自明永乐以后都称北京。参见""北京市""。<br>",1、<b>北京</b>是一个典型的中国城市。 <br />   2、 1980年高考后，他进了<b>北京</b>大学。 <br />   3、 这是<b>北京</b>颐和园的平面图。 <br />   4、 <b>北京</b>上海是中国的两大城市。<br />
128,仍然,réng rán,still,remain as before,副词，表示情况继续不变或恢复原状：他～保持着老红军艰苦奋斗的作风｜他把信看完，～装在信封里。<br>,1、尽管书中的例子有些古老，但是其中原则在今天<b>仍然</b>非常适用。 <br />   2、 但是，我们<b>仍然</b>使用相同的隐喻和检索模型管理我们的数据。 <br />   3、 但是在根本上，仅仅有这些<b>仍然</b>是不够的。 <br />   4、 然而我们<b>仍然</b>能够做很多工作来使工具的选择和操作简单，并避免其破坏流。<br />
131,立刻,lì kè,immediately,at any time,副词，表示紧接着某个时候；马上：请大家～到会议室去｜同学们听到这句话，～鼓起掌来。<br>,1、桌子上<b>立刻</b>堆起了一堆东西。 <br />   2、 你可以点击并拖放某个停靠的工具栏，一离开程序边界它<b>立刻</b>变成了一个悬浮调色板（也称为“调色板窗口”）即成为一个非模态对话框。 <br />   3、 如果程序不能理解输入的数据，它可以保持沉默。 用户就会<b>立刻</b>知道问题，在不尴尬或伤害自尊的情况下改正输入。 <br />   4、 屋影下<b>立刻</b>走出一个人。<br />
134,容易,róng yì,easy,requiring little skill or effort,（１）做起来不费事的：写简化字比繁体字～得多｜这篇文章写得很通俗，～看。（２）发生某种变化的可能性大：～生病｜～退色｜这种麦子不～倒状。<br>,1、最终，围绕故事设计出的体验用户更<b>容易</b>理解，也更<b>容易</b>投入，因为这些体验是以某个故事为结构建立起来的。 <br />   2、 对你的用户需要什么不做任何假设是<b>容易</b>的，更<b>容易</b>的是问一堆问题来帮助我们决定用户需要什么？ <br />   3、 用户和顾客很<b>容易</b>混淆，对于消费类产品来说，顾客通常就是用户。 <br />   4、 这个操作相当自然，也<b>容易</b>学习。<br />
135,汽车,qì chē,car,"A four-wheeled motor vehicle used for land transport, usually propelled by a gasoline or diesel internal combustion engine.",用内燃机做动力，主要在公路上或马路上行驶的交通工具，通常有四个或四个以上的橡胶轮胎。用来运载人或货物。<br>,1、<b>汽车</b>界面，尤其是那些提供复杂导航和娱乐（远程信息处理）功能的<b>汽车</b>，在保证驾驶员安全方面都有着特殊的挑战。 <br />   2、 例如，我们曾把火车头称为“铁马”，把<b>汽车</b>称为“无马的马车”。 <br />   3、 直接操作<b>汽车</b>方向盘不仅是最合适的习惯用法，它也让用户感觉自己处于优越的位置，引导自己的<b>汽车</b>去目的地。 <br />   4、 支付<b>汽车</b>贷款也是这样。<br />
136,无法,wú fǎ,uncapable,not capable,没有办法：这问题是难处理，但还不是～解决。<br>,1、很不幸，低劣的产品规划让数码产品惹人生气，效率低下，<b>无法</b>满足用户需要。 <br />   2、 为什么在技术行业中通常<b>无法</b>设计出好的数字产品的交互部分呢？ <br />   3、 对于错误消息框，它最后的讽刺是它们<b>无法</b>阻止用户犯错误。 <br />   4、 当我们单击撤销按钮时，我们也<b>无法</b>确认什么事将发生。<br />
137,永远,yǒng yuǎn,eternity,time extending infinitely far into the future,副词，表示时间长久，没有终止：～跟着共产党走。<br>,1、没人希望自己<b>永远</b>是新手，它只不过是每个人必须经历的一段过程。 <br />   2、 即使对超级用户来说，这种设置也是烦琐的过程，许多用户<b>永远</b>不会理解如何定制他们喜欢的默认值。 <br />   3、 所以它不能替代交互设计，<b>永远</b>也不可能是产生人见人爱产品的伟大思想的源泉。 <br />   4、 虽然我们发现，这一想法在一些资深设计师身上的确适用，但模式<b>永远</b>不可能脱离应用背景，像饼干模具一样机械地拼凑使用。<br />
138,并且,bìng qiě,besides,moreover; furthermore,连词。（１）用在两个动词或动词性的词组之间，表示两个动作同时或先后进行：会上热烈讨论～一致通过了这个生产计划。（２）用在复合句后一半里，表示更进一层的意思：她被评为先进生产者，～出席了劳动模范大会。<br>,1、二者不是一回事，<b>并且</b>用途也不同。 <br />   2、 软件也应该观察我们的偏好，<b>并且</b>自觉地记住它们。 <br />   3、 理解任务是重要的，<b>并且</b>任务必须仔细记录。 <br />   4、 不要用太多的颜色，<b>并且</b>使用这些颜色时要保守。<br />
139,痛苦,tòng kǔ,pain,painfjul,身体或精神感到非常难受。<br>,1、哎呀，多<b>痛苦</b>啊！ <br />   2、 事实上，对于不太灵活的用户来说双击是困难的——一些人感到<b>痛苦</b>，少数人根本做不到——这种现状在很大程度上被忽视了。 <br />   3、 过多的选择很快就丧失了它的优势，而成为一种<b>痛苦</b>的经验。 <br />   4、 但市场已经表明，人们很乐意放弃设计糟糕使用<b>痛苦</b>的软件，而追求更容易更好的软件，即使他们并不理解设计原理背后的说明。<br />
140,身边,shēn biān,beside,right beside you,（１）身体的近旁：年老多病的人～需要有人照料。（２）随身（携带）：他很用功，～总是带着本书。<br>,"1、她妈妈经常在她<b>身边</b>帮助她。 <br />   2、 由于生病，他<b>身边</b>总是留人。 <br />   3、 母亲通夜守护在病儿的<b>身边</b>。 <br />   4、 他很用功, <b>身边</b>总是带着本书。<br />"
141,结婚,jié hūn,marry,to be joined in marriage,男子和女子经过合法手续结合成为夫妻：～证书｜～登记。<br>,1、我可不<b>结婚</b>--<b>结婚</b>就像签了卖身契一样! <br />   2、 他将与珍<b>结婚</b>。 <br />   3、 他打算五月和珍<b>结婚</b>。 <br />   4、 金婚是<b>结婚</b>五十周年纪念日。<br />
143,外面,wài miàn,outside,on or towards the outside,１＜轻＞（～儿）外边：窗户～儿有棵梧桐树｜书～再包一层纸，可以保护封面。<br>,1、他们开始渐渐苏醒，<b>外面</b>的嘈杂声变得越来越真切了。 <br />   2、 他们可能在车站<b>外面</b>等着吗？ <br />   3、 门上轻轻的剥啄声终于提醒他们<b>外面</b>有人。 <br />   4、 培养器皿的<b>外面</b>当然是被污染的。<br />
145,因此,yīn cǐ,therefore,consequently; by consequence,因为这个：他的话引得大家都笑了，室内的空气～轻松了很多。<br>,1、<b>因此</b>需要提供视觉上的提示来标识位置和方向，这很重要。 <br />   2、 <b>因此</b>，多数应用程序只能将中间键当做快捷操作的捷径。 <br />   3、 <b>因此</b>，一定要避免在界面中全面使用大写字母。 <br />   4、 直到今天，你还<b>因此</b>讨厌地理吗？<br />
148,方面,fāng miàn,side,take the side of,就相对的或并列的几个人或几件事物之一说，叫方面：优势是在我们～，不是在敌人～｜必须不断提高农业生产～的机械化水平。<br>,1、第1个<b>方面</b>是电子邮件。 <br />   2、 可用性在以下<b>方面</b>的测试特别有效。 <br />   3、 创作界面时，你必须不断地在视觉<b>方面</b>将其简化。 <br />   4、 但是在用户交互<b>方面</b>，二者之间类似的地方很少。<br />
150,根本,gēn běn,at all,at all,（１）事物的根源或最重要部分：应当从～上考虑解决问题的方法。（２）主要的；重要的：最～的问题。（３）本来；从来：这话我～没说过。（４）从头到尾；始终；全然（多用于否定式）：他～就没想到这些问题｜我～就不赞成这种做法。（５）彻底：问题已经～解决。<br>,1、数码产品经常指责用户犯错，哪怕错误<b>根本</b>不在用户，或者不该发生。 <br />   2、 从<b>根本</b>上说，真实世界比计算机所思考的要更有意义，也更重要。 <br />   3、 从<b>根本</b>上讲，界面设计的工作重点在于如何处理和组织好视觉元素，从而有效地传达出行为和信息。 <br />   4、 但是在<b>根本</b>上，仅仅有这些仍然是不够的。<br />
151,目光,mù guāng,glare,glare or sight,眼睛的神采；眼光：～炯炯｜～如豆。<br>,1、他的<b>目光</b>游移于四周的景色。 <br />   2、 他用可怜巴巴的<b>目光</b>盯着她。 <br />   3、 她把<b>目光</b>投向了屏幕。 <br />   4、 现在她却能用慷慨大度的慈善家的<b>目光</b>来眺望自己广阔的前程。<br />
152,注意,zhù yì,notice,to observe,把意志放到某一方面：～安全｜提请～。<br>,1、颜色的不同可以快速的引起我们的<b>注意</b>。 <br />   2、 在一群相似的物体中，较大的物体更容易引起我们的<b>注意</b>。 <br />   3、 不过，<b>注意</b>所有的列表域遗憾地使用了水平滚动条。 <br />   4、 以下是设计可用的语音界面时需要<b>注意</b>的一些简单原则。<br />
155,显得,xiǎn de,look,"to appear, to seem",表现出（某种情形）：节日的天安门～更加壮丽。<br>,1、的确，由于害怕<b>显得</b>愚蠢、无能，以及缺乏礼貌，许多人不会谈论他们觉得有问题或者难以理解的软件行为。 <br />   2、 如果客户将这些应用软件作为套件整体使用，单一标准可能<b>显得</b>很重要。 <br />   3、 照片让你在展开叙述，或者在你完成后让团队中其他人加入时<b>显得</b>更加真实。 <br />   4、 如果不对称，界面会<b>显得</b>失衡，好像摇摇欲坠倒向一边。<br />
156,故事,gù shì,story,account of events,１＜轻＞（１）真实的或虚构的用做讲述对象的事情，有连贯性，富吸引力，能感染人：红军长征的～｜民间～。（２）文艺作品中用来体现主题的情节：～性。<br>,1、最终，围绕<b>故事</b>设计出的体验用户更容易理解，也更容易投入，因为这些体验是以某个<b>故事</b>为结构建立起来的。 <br />   2、 【鼓励讲<b>故事</b>】 <br />   3、 就像<b>故事</b>板作为电影脚本，设计方案应该根据一个图景——一个<b>故事</b>来创造和深化。 <br />   4、 从很小时开始，我们就习惯了用<b>故事</b>来考虑可能性，想像用户的一个新的并且更好的未来，想像用户使用我们产品的<b>故事</b>。<br />
157,生命,shēng mìng,life,a status given to entities which have the properties of replication and metabolism,生物体所具有的活动能力。生命是蛋白质存在的一种形式，其最基本的特征就是蛋白质能通过新陈代谢作用不断地跟周围环境进行物质交换。新陈代谢一停止，生命就停止，蛋白质也就分解。<br>,1、设计师还必须了解特殊领域的颜色编码，在医院，黄色表示放射物，红色常意味<b>生命</b>受到威胁。 <br />   2、 死亡隶属于<b>生命</b>，正与生一样。 <br />   3、 只有奇迹才能挽救她的<b>生命</b>。 <br />   4、 正常细胞显示有限的<b>生命</b>期。<br />
158,时代,shí dài,age,particular period of time in history,（１）指历史上以经济、政治、文化等状况为依据而划分的某个时期：石器～｜封建～｜五四～。（２）指个人生命中的某个时期：青年～。<br>,1、机械<b>时代</b>的表现方式 <br />   2、 机械<b>时代</b>和信息<b>时代</b>的表现模型 <br />   3、 当应用到信息<b>时代</b>的系统中时，隐喻存在很多局限性。 <br />   4、 然而有时机械<b>时代</b>的表现方式不应该完全转换到数字<b>时代</b>中。<br />
160,决定,jué dìng,determine,to ascertain definitely,（１）对如何行动做出主张：领导上～派他去学习｜这件事情究竟应该怎么办，最好是由大家来～。（２）决定的事项：这个问题尚未做出～｜组长们回去要向本组传达这项～。（３）某事物成为另一事物的先决条件；起主导作用：存在～意识｜生产力的发展～生产方式的变革。（４）客观规律促使事物一定向某方面发展变化：～性｜～因素。<br>,1、在你<b>决定</b>购买日用品之后，选择哪个结账口付款不重要。 <br />   2、 对第1个下拉菜单的选择<b>决定</b>了第2个下拉菜单提供的选择内容。 <br />   3、 在很多组织中，有关平台的<b>决定</b>，尤其是那些关于硬件的<b>决定</b>都发生在交互设计者参与之前，这很不幸。 <br />   4、 如果出现意外，程序应该做出自己权威的建设性<b>决定</b>。<br />
161,继续,jì xù,continue,intransitive: resume,（１）（活动）连下去；延长下去；不间断：～不停｜～工作。（２）跟某一事有连续关系的另一事：中国革命是伟大的十月革命的～。<br>,1、它是否会<b>继续</b>，接着炸死你家的狗？ <br />   2、 这种影响可能还会<b>继续</b>，除非我们一致协作来改变这种局面。 <br />   3、 这种情况称为“阻塞型公告”，因为直到用户回应，程序才能<b>继续</b>。 <br />   4、 <b>继续</b>说录入员输入发票的例子，这个录入员是一个全职的数据输入人员。<br />
163,肯定,kěn dìng,affirm,to agree with or verify,（１）承认事物的存在或事物的真实性（跟‘否定’相对）：～成绩。（２）表示承认的；正面的（跟‘否定’相对）：～判断｜我问他赞成不赞成，他的回答是～的（＝赞成）。（３）一定；无疑问：情况～是有利的。（４）确定；明确：他今天来不来还不能～｜请给一个～的答复。<br>,1、如果用过项目管理或组织图表程序，你<b>肯定</b>熟悉这个习惯用法。 <br />   2、 这是到目前为止最常实现的撤销功能，并且对于大多数程序来说<b>肯定</b>够了，即使没有达到最好。 <br />   3、 你<b>肯定</b>想调整周末栏的大小，以反映它相对于工作日的重要性。 <br />   4、 然而人的行为<b>肯定</b>不会像一台电子计算机那样被决定，而且也明显不会是随机的，向用户提出傻问题<b>肯定</b>会让用户感到挫折。<br />
164,爱情,ài qíng,love,strong affection,男女相爱的感情。<br>,1、他既写<b>爱情</b>诗也写神秘故事。 <br />   2、 <b>爱情</b>的信物((两人所生的孩子)) <br />   3、 没有尊重，就没有真正的<b>爱情</b>。 <br />   4、 他们的友谊渐渐发展成<b>爱情</b>.<br />
165,眼泪,yǎn lèi,tear,A drop of liquid produced from the eyes by crying or irritation.,泪液的通称。<br>,1、他再也忍不住自己的<b>眼泪</b>. <br />   2、 保留有价值的信息；忍住<b>眼泪</b> <br />   3、 符瑞德利克眸子里的一滴<b>眼泪</b>，激励我继续说下去。 <br />   4、 黛西躲在邻居家里，又羞又怕，直流<b>眼泪</b>。<br />
166,留下,liú xià,leave behind,leave a trace,"1.谓把东西搁下。);
2.留住下来。);
3.收受下来。);
4.指付钱买下。);
5.停留而攻下。<br>",1、不仅仅是因为这种输入法难于使用，而且通常会在屏幕上<b>留下</b>重重的指纹。 <br />   2、 这样也为这名用户<b>留下</b>了更多的空间买书，导航也变得更容易了；相反，如果他经常访问账号页面，为其量身定做的网站就应该将账号按钮（或者标签）醒目地呈现在他面前。 <br />   3、 前面所有的建议只是一个温和的解决方案，按照这些建议当然会改善粗糙的界面，但是还会<b>留下</b>遗憾的地方。 <br />   4、 克拉博兹基<b>留下</b>大量的藏书。<br />
167,机会,jī huì,opportunity,"chance for advancement, progress or profit",＜轻＞恰好的时候；时机：错过～｜千载一时的好～。<br>,1、在接下来的设计过程中，有很多<b>机会</b>和时间来修改这个极端的视觉风格。 <br />   2、 在确定和量化市场<b>机会</b>方面，市场划分的确是非常有用的工具。 然而，与市场<b>机会</b>相对应的是产品，在产品定义方面，市场划分则是一个低效率的工具。 <br />   3、 ( 理解商业、技术，以及业内的<b>机会</b>、需求和制约。 <br />   4、 个性化工具必须简单易用，在用户确定选择之前给他们一个预览的<b>机会</b>。<br />
